t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.0;8448.5567544575915;-2.4374871696795441e-07;0.00058380163234255853;-1.8140416603756071;-1.7398687232661709;-1.6866665562511506e-07;1.6177017606050108e-07
0.00031201248049921997;8445.0028440739497;-2.5064519653256839e-07;0.00058373012494857077;-3.6250271635799134;-3.476783321471915;-3.3704915470605545e-07;3.2326568235724903e-07
0.00062402496099843994;8441.4549439725397;-2.5753218931676089e-07;0.00058365871283483101;-5.432963097855728;-5.210749083938671;-5.0514810980698985e-07;4.844870106828071e-07
0.00093603744149765985;8437.9130422757971;-2.6440981609213722e-07;0.00058358739587272934;-7.2378558818951202;-6.941771059109124;-6.7296411772751969e-07;6.4543463043320827e-07
0.0012480499219968799;8434.3771275165873;-2.7127820426226583e-07;0.00058351617394153768;-9.039711780848954;-8.6698540297155731;-8.4049776099125255e-07;8.0610898629918282e-07
0.0015600624024960999;8430.847188647027;-2.7813749166002409e-07;0.00058344504692860275;-10.838536926372901;-10.395002490321938;-1.0077496097095641e-06;9.6651049617796664e-07
0.0018720748829953197;8427.3232150408967;-2.849878304995519e-07;0.00058337401472940997;-12.633465599095041;-12.117275832179905;-1.1746391706973372e-06;1.1266446821719496e-06
0.0021840873634945399;8423.8060130263166;-2.9174320549334182e-07;0.00058330309371513675;-14.421124708196103;-13.83689259481126;-1.3408528194331231e-06;1.2865318637319196e-06
0.0024960998439937598;8420.2987371545842;-2.9806967266915788e-07;0.0005832323476550645;-16.193884897615575;-15.554342796634515;-1.5056811907467044e-06;1.4462176019768713e-06
0.0028081123244929796;8416.8085267633414;-3.0321230573778753e-07;0.00058316192082963488;-17.938763799753648;-17.27045933626658;-1.6679172051243885e-06;1.6057793384712344e-06
0.0031201248049921998;8413.3475313215713;-3.058865836211085e-07;0.00058309205887231111;-19.637538350342574;-18.986412213303275;-1.8258665115639648e-06;1.7653258578825251e-06
0.0034321372854914196;8409.9328038939457;-3.0428937064939435e-07;0.00058302310679128318;-21.268240748697853;-20.70361353854366;-1.9774865795360819e-06;1.9249884559858679e-06
0.0037441497659906394;8406.58490017035;-2.9624684051816811e-07;0.00058295548082648433;-22.807807860049753;-22.423547371258291;-2.1206330361221058e-06;2.0849051182087435e-06
0.0040561622464898592;8403.3253992262835;-2.7947663488131632e-07;0.00058288961844415207;-24.235345314550862;-24.147558646220865;-2.2533631566532501e-06;2.245200894408057e-06
0.0043681747269890799;8400.1738504968198;-2.5191097921314683e-07;0.0005828259166180456;-25.535322932586872;-25.876645308093053;-2.3742329701812392e-06;2.4059685718623587e-06
0.0046801872074882997;8397.1447862169116;-2.1201311528683402e-07;0.00058276467130779846;-26.70005099990184;-27.611296149501605;-2.4825274995284997e-06;2.5672535977184128e-06
0.0049921996879875195;8394.2454073081881;-1.5902261877804044e-07;0.00058270603045257059;-27.730966079796158;-29.351405569572567;-2.5783803140240804e-06;2.7290461533779703e-06
0.0053042121684867393;8391.4743828082228;-9.3082877614063832e-08;0.00058264996943219443;-28.638520943028897;-31.096279294551305;-2.6627632953642471e-06;2.8912816863917655e-06
0.0056162246489859591;8388.8219542200113;-1.5230325940435759e-08;0.00058259629292767225;-29.440756735569678;-32.844726563078936;-2.7373538800824864e-06;3.0538494816971857e-06
0.0059282371294851798;8386.2712711589429;7.2746884646745005e-08;0.00058254466174390473;-30.160874725053706;-34.595218554843257;-2.8043092844675175e-06;3.2166073920575609e-06
0.0062402496099843996;8383.8006611776946;1.6854939062208905e-07;0.00058249463861573898;-30.824276781243984;-36.346082905300563;-2.865991333229955e-06;3.3793999237261241e-06
