t [s];P [Pa];Q [m^3/s];A [m^2];P_f [Pa];P_b [Pa];Q_f [m^3/s];Q_b [m^3/s]
0.0038062283737024228;10116.931749738062;3.5739048146236688e-06;0.00053823795571639394;-22.059597269088513;-20.680024432552713;-3.3465303109131253e-06;3.1372435203492339e-06
0.0041522491349480972;10113.419351782664;3.5595039699623991e-06;0.00053808671130716639;-23.844640269583941;-22.38621063886476;-3.6173285686769931e-06;3.3960788828373164e-06
0.004498269896193772;10109.928122575857;3.5475410746866134e-06;0.00053793634743717976;-25.600341154406074;-24.089774747293681;-3.8836755085726843e-06;3.6545164624493697e-06
0.0048442906574394469;10106.468857582606;3.5396317144029751e-06;0.00053778732974740383;-27.312802007176451;-25.790604369245393;-4.1434627603589461e-06;3.9125392093803047e-06
0.0051903114186851217;10103.055567107884;3.5378672095476479e-06;0.00053764026278242324;-28.966125494887336;-27.488560075562901;-4.3942786341883554e-06;4.170125971661955e-06
0.0055363321799307965;10099.704287913855;3.5446380979998884e-06;0.00053749583889899869;-30.544314207282682;-29.18349587028662;-4.6336962580890028e-06;4.427254601115276e-06
0.0058823529411764714;10096.431163406736;3.5623491035525625e-06;0.00053735475557325216;-32.033558184727305;-30.87528412695908;-4.8596206052142114e-06;4.6839057362896851e-06
0.0062283737024221462;10093.250131172619;3.5930758916017634e-06;0.00053721761567323287;-33.424450799071103;-32.563840004042966;-5.0706246519493765e-06;4.940066506379944e-06
0.006574394463667821;10090.170682681191;3.6382326149568572e-06;0.00053708483072815961;-34.713666804440614;-34.249140252299007;-5.2662039450187905e-06;5.1957333843823922e-06
0.0069204152249134959;10087.196166427566;3.698320199889891e-06;0.00053695654753857036;-35.904745645374668;-35.931232483332543;-5.4468954325038845e-06;5.4509135931704233e-06
0.0072664359861591707;10084.322995355598;3.7728089211928277e-06;0.00053683261373673396;-37.00781464481291;-37.610233031363592;-5.6142354703394761e-06;5.705624781116617e-06
0.0076124567474048456;10081.540925808129;3.8601800713034302e-06;0.0005367125895686457;-38.03830891852644;-39.286313949397169;-5.7705656281451633e-06;5.9598930493593952e-06
0.0079584775086505195;10078.834350616382;3.9581181817405211e-06;0.00053659580347455822;-39.014943354751921;-40.959681838574653;-5.9187250303155843e-06;6.2137497401289302e-06
0.0083044982698961944;10076.184348290979;4.0638154703396352e-06;0.00053648144037213102;-39.957323375865272;-42.630552638626213;-6.0616878988841083e-06;6.4672276123577269e-06
0.0086505190311418692;10073.571097469814;4.1743304739999079e-06;0.00053636864579451103;-40.883622294953469;-44.299126957425457;-6.2022111991004151e-06;6.7203570990731425e-06
0.008996539792387544;10070.976224231927;4.2869366604990167e-06;0.00053625662722220162;-41.808703907252337;-45.965569995658527;-6.3425498289432319e-06;6.9731632618888823e-06
0.0093425605536332189;10068.384699581395;4.3994041934719405e-06;0.00053614473607571157;-42.742949713160087;-47.62999885450121;-6.4842787040979023e-06;7.2256638655277335e-06
0.0096885813148788937;10065.786024916644;4.5101759219561205e-06;0.00053603251902597561;-43.691893914677848;-49.292478358260496;-6.6282373854376212e-06;7.4778687440998865e-06
0.010034602076124569;10063.174601211367;4.6184221191885555e-06;0.00053591973408967928;-44.65661274075439;-50.953024869976325;-6.7745891412558605e-06;7.729780379944923e-06
0.010380622837370243;10060.549335873575;4.7239819992153518e-06;0.00053580633380708701;-45.634689374000509;-52.611616257209398;-6.9229673305594215e-06;7.9813954154819452e-06
0.010726643598615918;10057.912667853096;4.8272188454488129e-06;0.00053569242327078663;-46.621375580455904;-54.26820389562333;-7.0726516270126327e-06;8.2327064742022439e-06
0.011072664359861593;10055.269394008226;4.9288456077159005e-06;0.00053557820952900698;-47.610499537141891;-55.922721805056995;-7.2227057400556428e-06;8.483703546647725e-06
0.011418685121107268;10052.625752142107;5.0297885671183706e-06;0.0005354639620354948;-48.594804474208942;-57.575089579722842;-7.3720287882915069e-06;8.7343744349346754e-06
0.011764705882352943;10049.989079430374;5.1311364071694578e-06;0.00053534999793390637;-49.565679025869137;-59.225208921572523;-7.5193143926293242e-06;8.9847042268508493e-06
0.012110726643598618;10047.368085536864;5.2341805947478152e-06;0.0005352366939019278;-50.512529176689185;-60.872956850060092;-7.6629553979912658e-06;9.2346742657488119e-06
0.012456747404844292;10044.773487457556;5.3405096282838354e-06;0.00053512451364531367;-51.422224269983957;-62.518180709249833;-7.8009598305411428e-06;9.4842613931045095e-06
0.012802768166089967;10042.218568505072;5.4520923230896568e-06;0.00053501403213314597;-52.279061578881013;-64.160700217084738;-7.9309455229709305e-06;9.7334382593992369e-06
0.013148788927335642;10039.71921168834;5.5712834969545949e-06;0.00053490593711534584;-53.065540268297738;-65.800320056098897;-8.0502575276696884e-06;9.9821752341819135e-06
0.013494809688581317;10037.293113159909;5.7007084670385144e-06;0.00053480099516294748;-53.76397729493052;-67.436853553957036;-8.1562132553005453e-06;1.0230443998502496e-05
0.013840830449826992;10034.958142635418;5.8430215037282387e-06;0.00053469998076115309;-54.358723830670471;-69.070154805994619;-8.246438715216535e-06;1.0478222418032217e-05
0.014186851211072667;10032.73009484764;6.0005744633419684e-06;0.00053460357898226223;-54.83853620538865;-70.700154070889766;-8.319228197089586e-06;1.0725499912729775e-05
0.014532871972318341;10030.620283208027;6.1750624761664735e-06;0.00053451228124836987;-55.198576477138261;-72.326890048528796;-8.3738477655187312e-06;1.0972282353524793e-05
0.014878892733564016;10028.633506958638;6.3672253485323482e-06;0.00053442629718843582;-55.441579872354339;-73.950532927909578;-8.4107123654398579e-06;1.1218595558778124e-05
0.015224913494809691;10026.766860684042;6.5766739538645512e-06;0.0005343455029168285;-55.577904966835469;-75.571393661369143;-8.4313934347837155e-06;1.1464486701219451e-05
0.015570934256055366;10025.009674856101;6.8018840269620214e-06;0.00053426943827194475;-55.62442490643167;-77.189917276119928;-8.438450698160812e-06;1.1710023293280551e-05
0.015916955017301039;10023.344631301754;7.0403633556460241e-06;0.00053419735495392696;-55.602460536654576;-78.806660558939342;-8.4351186142463967e-06;1.1955289801772178e-05
0.016262975778546716;10021.749852388712;7.2889619480520659e-06;0.00053412830687625805;-55.53514178043946;-80.422256599345957;-8.4249060860927618e-06;1.2200382268940042e-05
0.016608996539792389;10020.20157510452;7.5442669433735669e-06;0.00053406126590634984;-55.444674371336554;-82.037370106934247;-8.4111818134770829e-06;1.244540153392377e-05
0.016955017301038065;10018.676929006035;7.8030104809729736e-06;0.00053399524216437796;-55.349973684805136;-83.652648036813019;-8.3968153355185104e-06;1.2690445742435379e-05
0.017301038062283738;10017.156351762687;8.0624211674431569e-06;0.00053392938867923782;-55.265019967378066;-85.26866998619785;-8.3839275122764836e-06;1.2935602821721483e-05
0.017647058823529415;10015.62528353073;8.3204660699712857e-06;0.00053386307485117992;-55.198122653966337;-86.885902312491567;-8.3737789187043191e-06;1.3180943520090249e-05
0.017993079584775088;10014.074948517848;8.5759553619122154e-06;0.00053379592040493108;-55.152097376845269;-88.5046592328857;-8.366796697629527e-06;1.3426515505563011e-05
0.018339100346020765;10012.502216874575;8.8285095684597706e-06;0.00053372778951744112;-55.125197568354537;-90.125073491831117;-8.3627158876594068e-06;1.3672338916010986e-05
0.018685121107266438;10010.90870242412;9.0784137888778656e-06;0.00053365875183684463;-55.112354300720952;-91.747076452035458;-8.3607675119070123e-06;1.3918403338878812e-05
0.019031141868512114;10009.299542731549;9.3264265874980869e-06;0.00053358902971905079;-55.106114864311927;-93.370385559724241;-8.3598209641159489e-06;1.4164665909613647e-05
0.019377162629757787;10007.682473060269;9.5736357060239861e-06;0.00053351895817244739;-55.096815443475165;-94.99449810667349;-8.3584102042854362e-06;1.4411050365340579e-05
0.019723183391003464;10006.067659934157;9.8214309215814309e-06;0.00053344897770055849;-55.071910726610575;-96.618693254103903;-8.3546320578009427e-06;1.4657447351895313e-05
